Date,Price,Open,High,Low,Change %
13-Jan-20,109.9,109.56,109.94,109.54,0.32%
12-Jan-20,109.56,109.47,109.6,109.47,0.08%
10-Jan-20,109.47,109.52,109.7,109.44,-0.05%
9-Jan-20,109.52,109.12,109.58,109.01,0.35%
8-Jan-20,109.14,108.42,109.25,107.64,0.65%
7-Jan-20,108.44,108.38,108.64,108.27,0.06%
6-Jan-20,108.38,108,108.52,107.77,0.27%
3-Jan-20,108.09,108.56,108.64,107.83,-0.45%
2-Jan-20,108.58,108.75,108.86,108.2,-0.11%
1-Jan-20,108.7,108.61,108.75,108.59,0.07%
31-Dec-19,108.62,108.89,108.89,108.47,-0.24%
30-Dec-19,108.88,109.47,109.52,108.75,-0.49%
27-Dec-19,109.42,109.61,109.64,109.39,-0.20%
26-Dec-19,109.64,109.34,109.69,109.32,0.26%
25-Dec-19,109.36,109.39,109.42,109.27,-0.03%
24-Dec-19,109.39,109.39,109.44,109.31,0.00%
23-Dec-19,109.39,109.41,109.53,109.33,-0.05%
20-Dec-19,109.44,109.36,109.53,109.25,0.05%
19-Dec-19,109.38,109.55,109.67,109.17,-0.14%
18-Dec-19,109.53,109.5,109.62,109.39,0.05%
17-Dec-19,109.48,109.53,109.64,109.44,-0.02%
16-Dec-19,109.5,109.39,109.69,109.25,0.11%
13-Dec-19,109.38,109.31,109.72,108.92,0.06%
12-Dec-19,109.31,108.57,109.46,108.46,0.69%
11-Dec-19,108.56,108.72,108.86,108.47,-0.14%
10-Dec-19,108.71,108.56,108.77,108.51,0.14%
9-Dec-19,108.56,108.68,108.68,108.42,-0.05%
6-Dec-19,108.61,108.77,108.92,108.53,-0.14%
5-Dec-19,108.76,108.86,109,108.65,-0.09%
4-Dec-19,108.86,108.64,108.97,108.42,0.20%
3-Dec-19,108.64,108.97,109.22,108.48,-0.33%
2-Dec-19,109,109.53,109.73,108.92,-0.47%
29-Nov-19,109.52,109.5,109.67,109.39,0.00%
28-Nov-19,109.52,109.55,109.58,109.33,-0.04%
27-Nov-19,109.56,109.03,109.61,109,0.47%
26-Nov-19,109.05,108.92,109.2,108.88,0.12%
25-Nov-19,108.92,108.72,108.98,108.64,0.24%
22-Nov-19,108.66,108.64,108.73,108.47,0.02%
21-Nov-19,108.64,108.61,108.7,108.28,0.03%
20-Nov-19,108.61,108.55,108.75,108.34,0.06%
19-Nov-19,108.55,108.67,108.86,108.45,-0.11%
18-Nov-19,108.67,108.83,109.08,108.52,-0.07%
15-Nov-19,108.75,108.41,108.86,108.38,0.31%
14-Nov-19,108.41,108.83,108.88,108.25,-0.39%
13-Nov-19,108.83,109,109.16,108.66,-0.17%
12-Nov-19,109.02,109.06,109.31,108.92,-0.04%
11-Nov-19,109.06,109.2,109.27,108.89,-0.20%
8-Nov-19,109.28,109.28,109.48,109.08,0.00%
7-Nov-19,109.28,108.97,109.5,108.66,0.28%
6-Nov-19,108.97,109.17,109.19,108.81,-0.17%
